customer_id,signup_date,city,age_group,acquisition_channel
CUST0001,2025-07-08,Mumbai,45-54,Paid_Ads
CUST0002,2026-04-22,Ahmedabad,18-24,Organic
CUST0003,2026-03-02,Hyderabad,35-44,Organic
CUST0004,2025-12-02,Bengaluru,25-34,Paid_Ads
CUST0005,2025-11-29,Chennai,25-34,Organic
CUST0006,2026-05-27,Kolkata,35-44,Social_Media
CUST0007,2025-07-07,Chennai,55+,Social_Media
CUST0008,2026-03-20,Jaipur,35-44,Social_Media
CUST0009,2025-08-24,Kochi,18-24,Paid_Ads
CUST0010,2025-07-10,Mumbai,35-44,Referral
CUST0011,2026-01-08,Kochi,18-24,Paid_Ads
CUST0012,2026-07-15,Kolkata,45-54,Referral
CUST0013,2026-04-06,Kolkata,35-44,Organic
CUST0014,2026-04-16,Hyderabad,18-24,Paid_Ads
CUST0015,2026-03-29,Kolkata,18-24,Organic
CUST0016,2026-04-27,Ahmedabad,25-34,Paid_Ads
CUST0017,2026-01-02,Chennai,55+,Paid_Ads
CUST0018,2025-07-24,Hyderabad,25-34,Organic
CUST0019,2026-05-19,Chennai,45-54,Organic
CUST0020,2025-12-07,Kochi,35-44,Paid_Ads
CUST0021,2025-12-28,Ahmedabad,35-44,Organic
CUST0022,2025-11-03,Mumbai,18-24,Email
CUST0023,2025-08-16,Kochi,55+,Paid_Ads
CUST0024,2026-06-25,Kochi,25-34,Paid_Ads
CUST0025,2026-04-25,Mumbai,35-44,Paid_Ads
CUST0026,2026-02-26,Jaipur,35-44,Organic
CUST0027,2025-11-17,Pune,35-44,Email
CUST0028,2026-05-12,Chennai,55+,Paid_Ads
CUST0029,2026-01-16,Pune,18-24,Social_Media
CUST0030,2025-12-04,Ahmedabad,35-44,Organic
CUST0031,2025-12-07,Kochi,25-34,Paid_Ads
CUST0032,2025-09-04,Ahmedabad,25-34,Paid_Ads
CUST0033,2025-07-09,Kochi,18-24,Email
CUST0034,2026-01-19,Kochi,18-24,Paid_Ads
CUST0035,2026-06-08,Hyderabad,25-34,Paid_Ads
CUST0036,2025-06-27,Bengaluru,25-34,Organic
CUST0037,2026-05-27,Ahmedabad,25-34,Paid_Ads
CUST0038,2026-05-14,Chennai,35-44,Paid_Ads
CUST0039,2025-09-25,Hyderabad,35-44,Paid_Ads
CUST0040,2026-02-21,Hyderabad,25-34,Organic
CUST0041,2025-08-09,Chennai,25-34,Social_Media
CUST0042,2026-04-15,Kolkata,25-34,Email
CUST0043,2026-03-22,Mumbai,35-44,Organic
CUST0044,2025-10-27,Mumbai,25-34,Paid_Ads
