order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,order_status
ORD00001,CUST0159,PRD0052,2026-07-11,3,8157.57,15.0,Completed
ORD00002,CUST0020,PRD0024,2025-12-12,2,686.07,5.0,Completed
ORD00003,CUST0187,PRD0045,2025-11-07,1,4085.54,0.0,Completed
ORD00004,CUST0119,PRD0048,2026-03-17,2,4416.63,0.0,Completed
ORD00005,CUST0138,PRD0025,2026-03-05,1,526.88,15.0,Completed
ORD00006,CUST0218,PRD0029,2025-12-18,1,4297.64,5.0,Completed
ORD00007,CUST0155,PRD0025,2026-03-14,2,526.88,20.0,Returned
ORD00008,CUST0198,PRD0055,2026-07-30,1,5178.41,0.0,Completed
ORD00009,CUST0170,PRD0033,2026-01-14,1,2005.79,15.0,Completed
ORD00010,CUST0138,PRD0034,2025-09-09,2,655.7,0.0,Completed
ORD00011,CUST0023,PRD0002,2025-12-04,1,1360.82,5.0,Completed
ORD00012,CUST0164,PRD0025,2025-12-11,1,526.88,0.0,Completed
ORD00013,CUST0120,PRD0046,2025-08-07,1,5980.45,0.0,Completed
ORD00014,CUST0023,PRD0053,2025-08-23,2,7598.67,15.0,Completed
ORD00015,CUST0029,PRD0023,2026-04-18,2,1977.17,0.0,Completed
ORD00016,CUST0100,PRD0039,2025-11-16,1,575.52,10.0,Cancelled
ORD00017,CUST0112,PRD0051,2026-08-07,2,6491.84,15.0,Completed
ORD00018,CUST0039,PRD0030,2025-10-01,1,6312.47,0.0,Completed
ORD00019,CUST0170,PRD0009,2025-07-22,1,8336.91,15.0,Completed
ORD00020,CUST0138,PRD0032,2026-05-17,2,6319.63,5.0,Cancelled
ORD00021,CUST0173,PRD0025,2026-07-08,2,526.88,5.0,Completed
ORD00022,CUST0058,PRD0025,2025-10-18,1,526.88,0.0,Returned
ORD00023,CUST0170,PRD0047,2025-09-11,1,3143.69,20.0,Completed
ORD00024,CUST0218,PRD0027,2025-09-03,1,4596.48,20.0,Completed
ORD00025,CUST0057,PRD0008,2026-02-07,2,2013.05,0.0,Completed
ORD00026,CUST0203,PRD0046,2026-01-14,1,5980.45,10.0,Completed
ORD00027,CUST0138,PRD0051,2025-10-09,1,6491.84,10.0,Completed
ORD00028,CUST0117,PRD0039,2025-06-24,2,575.52,15.0,Completed
ORD00029,CUST0132,PRD0005,2026-01-20,1,2020.45,20.0,Completed
ORD00030,CUST0125,PRD0007,2026-08-09,2,2343.73,0.0,Completed
ORD00031,CUST0182,PRD0005,2026-04-05,1,2020.45,15.0,Completed
ORD00032,CUST0057,PRD0025,2026-01-26,2,526.88,0.0,Completed
ORD00033,CUST0074,PRD0008,2025-07-28,1,2013.05,0.0,Completed
ORD00034,CUST0143,PRD0026,2025-10-06,1,293.95,0.0,Cancelled
ORD00035,CUST0196,PRD0039,2025-10-26,1,575.52,0.0,Completed
ORD00036,CUST0026,PRD0020,2026-05-22,1,4570.82,5.0,Completed
ORD00037,CUST0125,PRD0050,2026-07-07,1,6637.65,15.0,Completed
ORD00038,CUST0013,PRD0005,2026-07-17,1,2020.45,0.0,Completed
ORD00039,CUST0163,PRD0005,2026-08-18,3,2020.45,0.0,Completed
ORD00040,CUST0052,PRD0003,2026-08-18,1,3034.38,0.0,Completed
ORD00041,CUST0131,PRD0012,2026-08-06,1,3717.87,0.0,Completed
ORD00042,CUST0117,PRD0030,2025-07-08,1,6312.47,10.0,Completed
ORD00043,CUST0120,PRD0024,2025-08-10,2,686.07,5.0,Completed
ORD00044,CUST0136,PRD0042,2025-10-31,2,4605.81,15.0,Completed
ORD00045,CUST0165,PRD0042,2026-02-21,1,4605.81,5.0,Completed
ORD00046,CUST0150,PRD0036,2025-07-21,3,5758.15,10.0,Completed
ORD00047,CUST0180,PRD0038,2026-06-24,3,1768.06,20.0,Completed
ORD00048,CUST0159,PRD0010,2026-03-20,2,5761.17,0.0,Completed
ORD00049,CUST0218,PRD0012,2026-02-16,2,3717.87,0.0,Completed
ORD00050,CUST0033,PRD0032,2025-08-24,1,6319.63,15.0,Completed
ORD00051,CUST0069,PRD0027,2025-10-06,2,4596.48,5.0,Completed
ORD00052,CUST0052,PRD0012,2025-08-22,1,3717.87,20.0,Returned
ORD00053,CUST0060,PRD0005,2026-06-27,1,2020.45,0.0,Completed
ORD00054,CUST0055,PRD0022,2026-03-06,3,2508.17,10.0,Returned
ORD00055,CUST0144,PRD0042,2026-05-10,1,4605.81,10.0,Completed
ORD00056,CUST0023,PRD0032,2025-10-26,2,6319.63,0.0,Cancelled
ORD00057,CUST0209,PRD0016,2025-12-01,3,2062.6,20.0,Completed
ORD00058,CUST0004,PRD0024,2025-12-16,1,686.07,0.0,Completed
ORD00059,CUST0054,PRD0043,2026-05-20,2,475.04,10.0,Completed
ORD00060,CUST0065,PRD0005,2026-05-25,1,2020.45,0.0,Completed
ORD00061,CUST0036,PRD0029,2025-09-14,3,4297.64,10.0,Completed
ORD00062,CUST0195,PRD0010,2026-08-02,1,5761.17,0.0,Completed
ORD00063,CUST0117,PRD0012,2025-08-02,2,3717.87,10.0,Completed
ORD00064,CUST0122,PRD0040,2026-07-14,1,1731.63,10.0,Completed
ORD00065,CUST0001,PRD0051,2025-07-23,1,6491.84,10.0,Completed
ORD00066,CUST0074,PRD0019,2025-10-12,2,1543.79,5.0,Completed
ORD00067,CUST0063,PRD0025,2026-06-24,1,526.88,10.0,Completed
ORD00068,CUST0182,PRD0054,2025-08-31,2,3775.54,10.0,Completed
ORD00069,CUST0119,PRD0016,2025-12-20,1,2062.6,0.0,Completed
ORD00070,CUST0097,PRD0013,2026-01-06,2,4434.32,5.0,Completed
ORD00071,CUST0171,PRD0003,2025-10-02,1,3034.38,10.0,Cancelled
ORD00072,CUST0002,PRD0016,2026-04-29,1,2062.6,10.0,Completed
ORD00073,CUST0055,PRD0005,2026-06-26,3,2020.45,0.0,Completed
ORD00074,CUST0032,PRD0049,2026-07-06,2,4086.59,5.0,Cancelled
ORD00075,CUST0007,PRD0034,2025-11-16,1,655.7,20.0,Returned
ORD00076,CUST0104,PRD0055,2026-02-11,2,5178.41,0.0,Completed
ORD00077,CUST0058,PRD0054,2025-10-04,1,3775.54,10.0,Completed
ORD00078,CUST0102,PRD0015,2025-10-02,2,822.98,15.0,Completed
ORD00079,CUST0018,PRD0050,2025-08-22,2,6637.65,15.0,Completed
ORD00080,CUST0007,PRD0033,2026-08-01,1,2005.79,15.0,Completed
ORD00081,CUST0104,PRD0016,2026-07-11,2,2062.6,5.0,Completed
ORD00082,CUST0040,PRD0051,2026-05-27,1,6491.84,20.0,Completed
ORD00083,CUST0082,PRD0046,2026-02-05,3,5980.45,0.0,Completed
ORD00084,CUST0155,PRD0040,2026-01-24,1,1731.63,5.0,Completed
ORD00085,CUST0010,PRD0034,2026-02-10,1,655.7,0.0,Completed
ORD00086,CUST0182,PRD0021,2026-02-13,1,8486.46,15.0,Completed
ORD00087,CUST0052,PRD0025,2025-12-30,3,526.88,5.0,Cancelled
ORD00088,CUST0007,PRD0011,2025-08-07,3,9472.34,20.0,Completed
ORD00089,CUST0118,PRD0018,2025-08-04,2,2653.32,0.0,Completed
ORD00090,CUST0091,PRD0003,2026-08-06,1,3034.38,0.0,Completed
ORD00091,CUST0117,PRD0004,2026-01-20,1,6852.73,5.0,Completed
ORD00092,CUST0145,PRD0005,2026-08-06,2,2020.45,5.0,Completed
ORD00093,CUST0018,PRD0023,2025-08-23,1,1977.17,0.0,Completed
ORD00094,CUST0018,PRD0016,2026-02-21,3,2062.6,20.0,Completed
ORD00095,CUST0218,PRD0020,2025-09-14,1,4570.82,0.0,Completed
ORD00096,CUST0032,PRD0018,2025-10-06,1,2653.32,10.0,Completed
ORD00097,CUST0117,PRD0016,2025-06-16,1,2062.6,0.0,Completed
ORD00098,CUST0056,PRD0028,2025-08-01,3,6533.23,0.0,Completed
ORD00099,CUST0058,PRD0040,2026-07-23,1,1731.63,0.0,Completed
ORD00100,CUST0217,PRD0013,2025-11-08,3,4434.32,0.0,Completed
ORD00101,CUST0049,PRD0039,2026-03-17,1,575.52,10.0,Cancelled
